"main","vol_veh_yr"
" STEELES AVE W ",24592
" STRACHAN AVE ",11723
" TALBOT RD ",4909
" TANGIERS RD ",3016
" TAPSCOTT RD ",7209
" THE DONWAY W ",6333
" THE EAST MALL ",11497
" THE POND RD ",6795
" THE QUEENSWAY ",21312
" THE WEST MALL ",10938
" THE WESTWAY ",7159
" TORO RD ",4630
" TRETHEWEY DR ",9739
" UNIVERSITY AVE ",22119
" VAUGHAN RD ",5928
" VICTORIA PARK AVE ",18074
" VICTORIA ST ",11767
" WARDEN AVE ",19638
" WELLESLEY ST E ",6716
" WELLINGTON ST W ",8401
" WESTON RD ",14850
" WICKSTEED AVE ",8998
" WILLIAM KITCHEN RD ",7184
" WILLIAM R ALLEN RD ",29797
" WILLOWDALE AVE ",9676
" WILMINGTON AVE ",8680
" WILSON AVE ",17051
" WILSON HEIGHTS BLVD ",12285
" WINDERMERE AVE ",6488
" WOODBINE AVE ",12943
" WYNFORD DR ",10704
" YONGE ST ",18453
" YORK BLVD ",20431
" YORK MILLS RD ",16049
" YORK ST ",11101
" YORKDALE 401 ALLEN N RAMP ",9517
" YORKDALE RD ",14193
" YORKLAND RD ",9900
" ZOO RD ",1982
