"main","day_of_week","veh_ped_traffic"
" PARK LAWN RD ","Thursday",41564
" PARKSIDE DR ","Wednesday",30555
" PARKWOODS VILLAGE DR ","Tuesday",23215
" PARLIAMENT ST ","Saturday",33163
" PASSMORE AVE ","Saturday",8202
" PHARMACY AVE ","Thursday",114649
" PORT UNION RD ","Thursday",16261
" POYNTZ AVE ","Tuesday",6514
" PRINCES BLVD ","Tuesday",1518
" PROGRESS AVE ","Monday",49663
" QUEEN ST E ","Tuesday",95130
" QUEEN ST W ","Wednesday",149580
" QUEENS PARK ","Thursday",22654
" QUEENS PARK CRES E ","Wednesday",51441
" QUEENS PARK CRES W ","Tuesday",17479
" QUEENS PLATE DR ","Thursday",6407
" QUEENS QUAY E ","Monday",8464
" QUEENS QUAY W ","Wednesday",53710
" RANEE AVE ","Wednesday",5900
" RATHBURN RD ","Monday",14541
" RENFORTH DR ","Thursday",77871
" REXDALE BLVD ","Thursday",92089
" RICHMOND ST E ","Tuesday",25545
" RICHMOND ST W ","Tuesday",51666
" RIVER ST ","Monday",7494
" ROGERS RD ","Monday",19955
" RONCESVALLES AVE ","Monday",10754
" ROYAL YORK RD ","Thursday",102601
" RUNNYMEDE RD ","Thursday",7913
" SANDHURST CRCL ","Tuesday",4253
" SCARBOROUGH GOLF CLUB RD ","Wednesday",17753
" SCARLET RD ","Tuesday",8476
" SCARLETT RD ","Tuesday",43365
" SENTINEL RD ","Wednesday",8961
" SEWELLS RD ","Wednesday",5907
" SHAW ST ","Thursday",3555
" SHEPPARD AVE E ","Wednesday",314764
" SHEPPARD AVE W ","Wednesday",143752
" SHERBOURNE ST ","Wednesday",78028
" SHERWAY GARDENS RD ","Tuesday",9713
" SHOREHAM DR ","Wednesday",11599
" SHUTER ST ","Tuesday",15621
" SIGNET DR ","Thursday",9932
" SIMCOE ST ","Thursday",26902
" SOUTH KINGSWAY ","Tuesday",10550
" SOUTHVALE DR ","Saturday",8991
" SPADINA AVE ","Saturday",202406
" SPADINA CRES ","Thursday",15197
" SPADINA RD ","Thursday",46251
" ST CLAIR AVE E ","Saturday",121433
" ST CLAIR AVE W ","Thursday",219502
" ST DENNIS DR ","Tuesday",6903
" ST GEORGE ST ","Wednesday",31594
" STEELES AVE E ","Wednesday",228166
" STEELES AVE W ","Wednesday",405897
" STRACHAN AVE ","Thursday",12996
" TALBOT RD ","Tuesday",4998
" TANGIERS RD ","Thursday",3039
" TAPSCOTT RD ","Wednesday",16860
" THE DONWAY W ","Tuesday",7564
" THE EAST MALL ","Tuesday",54118
" THE POND RD ","Wednesday",20784
" THE QUEENSWAY ","Wednesday",197141
" THE WEST MALL ","Tuesday",22884
" THE WESTWAY ","Tuesday",12860
" TORO RD ","Wednesday",4682
" TRETHEWEY DR ","Tuesday",16600
" UNIVERSITY AVE ","Saturday",179039
" VAUGHAN RD ","Wednesday",6836
" VICTORIA PARK AVE ","Wednesday",203861
" VICTORIA ST ","Thursday",22356
" WARDEN AVE ","Tuesday",259577
" WELLESLEY ST E ","Wednesday",10627
" WELLINGTON ST W ","Thursday",23656
" WESTON RD ","Thursday",226336
" WICKSTEED AVE ","Tuesday",9275
" WILLIAM KITCHEN RD ","Monday",7317
" WILLIAM R ALLEN RD ","Wednesday",150737
" WILLOWDALE AVE ","Monday",27055
" WILMINGTON AVE ","Tuesday",9708
" WILSON AVE ","Thursday",151715
" WILSON HEIGHTS BLVD ","Thursday",25174
" WINDERMERE AVE ","Thursday",7122
" WOODBINE AVE ","Thursday",25745
" WYNFORD DR ","Tuesday",32627
" YONGE ST ","Wednesday",648746
" YORK BLVD ","Tuesday",22023
" YORK MILLS RD ","Wednesday",201249
" YORK ST ","Wednesday",58712
" YORKDALE 401 ALLEN N RAMP ","Thursday",10027
" YORKDALE RD ","Wednesday",17950
" YORKLAND RD ","Monday",10740
" ZOO RD ","Sunday",1998
